,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000genome-20200923T032047Z_0_condorpool,auxiliary,0,1600843914.0,,,1600843918.0,1600843919.0,1600843923.0,1600843923.0,1600843928.0,4.0,,1.0,4.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.2,0,0
sifting_ID0000024,compute,0,1600843928.0,,,1600843933.0,1600844150.0,1600844210.0,1600844210.0,1600844215.0,5.0,,217.0,60.0,5.0,45.0,1708157176.0,6.0,1365482.0,panorama,condorpool,worker-3,sifting,/var/lib/condor/execute/dir_7892/pegasus.Huo6fR8Lr/sifting,ALL.chr2.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   2,1.7,0,0
sifting_ID0000012,compute,0,1600843928.0,,,1600843933.0,1600844134.0,1600844179.0,1600844179.0,1600844184.0,5.0,,201.0,45.0,5.0,32.0,1580479763.0,4.0,2126612.0,panorama,condorpool,worker-1,sifting,/var/lib/condor/execute/dir_16272/pegasus.Jan9Wajsa/sifting,ALL.chr1.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   1,2.1,0,0
individuals_ID0000021,compute,0,1600843928.0,,,1600843933.0,1600843937.0,1600844179.0,1600844179.0,1600844184.0,5.0,,4.0,242.0,5.0,173.0,1014251457.0,6.0,27859.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_26841/pegasus.fDiumzYVB/individuals,ALL.chr2.100000.vcf   2   8001   9001   10000,56.4,0,0
individuals_ID0000020,compute,0,1600843928.0,,,1600843933.0,1600843937.0,1600844184.0,1600844184.0,1600844190.0,5.0,,4.0,247.0,6.0,174.0,1014251457.0,6.0,27875.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_26837/pegasus.aahHYoxCf/individuals,ALL.chr2.100000.vcf   2   7001   8001   10000,56.6,0,0
individuals_ID0000009,compute,0,1600843928.0,,,1600843933.0,1600843936.0,1600844190.0,1600844190.0,1600844195.0,5.0,,3.0,254.0,5.0,165.0,1014280442.0,5.0,27969.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_32510/pegasus.NvvYoJUIu/individuals,ALL.chr1.100000.vcf   1   8001   9001   10000,67.7,0,0
individuals_ID0000019,compute,0,1600843928.0,,,1600843933.0,1600843936.0,1600844205.0,1600844205.0,1600844210.0,5.0,,3.0,269.0,5.0,168.0,1014251457.0,4.0,28165.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_19878/pegasus.u2kRxsmvq/individuals,ALL.chr2.100000.vcf   2   6001   7001   10000,68.5,0,0
individuals_ID0000008,compute,0,1600843928.0,,,1600843933.0,1600843936.0,1600844200.0,1600844200.0,1600844205.0,5.0,,3.0,264.0,5.0,173.0,1014280442.0,5.0,28073.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_8039/pegasus.vrKjgysxf/individuals,ALL.chr1.100000.vcf   1   7001   8001   10000,62.2,0,0
individuals_ID0000014,compute,0,1600843928.0,,,1600843933.0,1600843937.0,1600844184.0,1600844184.0,1600844190.0,5.0,,4.0,247.0,6.0,174.0,1014251457.0,6.0,27867.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_26833/pegasus.71lSaLDQ8/individuals,ALL.chr2.100000.vcf   2   1001   2001   10000,56.7,0,0
individuals_ID0000003,compute,0,1600843928.0,,,1600843933.0,1600843936.0,1600844184.0,1600844184.0,1600844190.0,5.0,,3.0,248.0,6.0,165.0,1014280442.0,5.0,27963.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_14183/pegasus.gK0BC5aOn/individuals,ALL.chr1.100000.vcf   1   2001   3001   10000,70.4,0,0
