,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000genome-20200924T055433Z_0_condorpool,auxiliary,0,1600941048.0,,,1600941052.0,1600941053.0,1600941057.0,1600941057.0,1600941062.0,4.0,,1.0,4.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.3,0,0
sifting_ID0000024,compute,0,1600941062.0,,,1600941067.0,1600941288.0,1600941338.0,1600941338.0,1600941343.0,5.0,,221.0,50.0,5.0,37.0,1708157176.0,5.0,1365482.0,panorama,condorpool,worker-1,sifting,/var/lib/condor/execute/dir_26173/pegasus.4kH8vonVo/sifting,ALL.chr2.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   2,1.9,0,0
sifting_ID0000012,compute,0,1600941062.0,,,1600941067.0,1600941246.0,1600941293.0,1600941293.0,1600941298.0,5.0,,179.0,47.0,5.0,33.0,1580479763.0,6.0,2126612.0,panorama,condorpool,worker-2,sifting,/var/lib/condor/execute/dir_21927/pegasus.6EzvItDte/sifting,ALL.chr1.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   1,2.0,0,0
individuals_ID0000021,compute,0,1600941062.0,,,1600941067.0,1600941084.0,1600941348.0,1600941348.0,1600941353.0,5.0,,17.0,264.0,5.0,171.0,1014251457.0,5.0,28059.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_26795/pegasus.solxnrxEp/individuals,ALL.chr2.100000.vcf   2   8001   9001   10000,68.1,0,0
individuals_ID0000010,compute,0,1600941062.0,,,1600941067.0,1600941084.0,1600941338.0,1600941338.0,1600941348.0,5.0,,17.0,254.0,10.0,166.0,1014280442.0,5.0,27972.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_26794/pegasus.CBVcrd4TN/individuals,ALL.chr1.100000.vcf   1   9001   10001   10000,68.9,0,0
individuals_ID0000020,compute,0,1600941062.0,,,1600941067.0,1600941082.0,1600941338.0,1600941338.0,1600941348.0,5.0,,15.0,256.0,10.0,167.0,1014251457.0,5.0,28027.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_28846/pegasus.dHrVuWB4e/individuals,ALL.chr2.100000.vcf   2   7001   8001   10000,69.4,0,0
individuals_ID0000009,compute,0,1600941062.0,,,1600941067.0,1600941083.0,1600941333.0,1600941333.0,1600941343.0,5.0,,16.0,250.0,10.0,175.0,1014280442.0,6.0,27817.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_1277/pegasus.0gZMQwml8/individuals,ALL.chr1.100000.vcf   1   8001   9001   10000,55.2,0,0
individuals_ID0000019,compute,0,1600941062.0,,,1600941067.0,1600941083.0,1600941348.0,1600941348.0,1600941353.0,5.0,,16.0,265.0,5.0,176.0,1014251457.0,5.0,28132.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_26676/pegasus.SOO0UTpPL/individuals,ALL.chr2.100000.vcf   2   6001   7001   10000,68.0,0,0
individuals_ID0000014,compute,0,1600941062.0,,,1600941067.0,1600941082.0,1600941328.0,1600941328.0,1600941333.0,5.0,,15.0,246.0,5.0,164.0,1014251457.0,5.0,27852.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_9579/pegasus.eMX1lILfS/individuals,ALL.chr2.100000.vcf   2   1001   2001   10000,68.8,0,0
individuals_ID0000003,compute,0,1600941062.0,,,1600941067.0,1600941082.0,1600941343.0,1600941343.0,1600941348.0,5.0,,15.0,261.0,5.0,173.0,1014280442.0,4.0,27932.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_28845/pegasus.A9WfzyqUL/individuals,ALL.chr1.100000.vcf   1   2001   3001   10000,69.0,0,0
individuals_ID0000013,compute,0,1600941062.0,,,1600941067.0,1600941082.0,1600941333.0,1600941333.0,1600941343.0,5.0,,15.0,251.0,10.0,165.0,1014251457.0,5.0,27914.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_28844/pegasus.Y5cWFFm7b/individuals,ALL.chr2.100000.vcf   2   1   1001   10000,69.3,0,0
individuals_ID0000008,compute,0,1600941062.0,,,1600941067.0,1600941083.0,1600941333.0,1600941333.0,1600941343.0,5.0,,16.0,250.0,10.0,175.0,1014280442.0,5.0,27823.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_1270/pegasus.jbBy7LlvF/individuals,ALL.chr1.100000.vcf   1   7001   8001   10000,55.2,0,0
individuals_ID0000001,compute,0,1600941062.0,,,1600941067.0,1600941083.0,1600941333.0,1600941333.0,1600941343.0,5.0,,16.0,250.0,10.0,176.0,1014280442.0,6.0,27840.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_1267/pegasus.bspSqfcT6/individuals,ALL.chr1.100000.vcf   1   1   1001   10000,55.5,0,0
individuals_ID0000004,compute,0,1600941062.0,,,1600941067.0,1600941083.0,1600941333.0,1600941333.0,1600941343.0,5.0,,16.0,250.0,10.0,177.0,1014280442.0,6.0,27898.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_1266/pegasus.roqN37s2P/individuals,ALL.chr1.100000.vcf   1   3001   4001   10000,55.1,0,0
individuals_ID0000002,compute,0,1600941062.0,,,1600941067.0,1600941082.0,1600941333.0,1600941333.0,1600941343.0,5.0,,15.0,251.0,10.0,177.0,1014280442.0,5.0,27875.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_13467/pegasus.UCJBHA2CW/individuals,ALL.chr1.100000.vcf   1   1001   2001   10000,63.1,0,0
