,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000genome-20200829T064317Z_0_condorpool,auxiliary,0,1598736154.0,,,1598736158.0,1598736160.0,1598736168.0,1598736168.0,1598736173.0,4.0,,2.0,8.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.3,0,0
sifting_ID0000024,compute,0,1598736173.0,,,1598736180.0,1598736436.0,1598736498.0,1598736498.0,1598736503.0,7.0,,256.0,62.0,5.0,51.0,1708157176.0,4.0,1365482.0,panorama,condorpool,worker-0,sifting,/var/lib/condor/execute/dir_25118/pegasus.8psAN3W1J/sifting,ALL.chr2.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   2,1.9,0,0
sifting_ID0000012,compute,0,1598736173.0,,,1598736180.0,1598736434.0,1598736493.0,1598736493.0,1598736498.0,7.0,,254.0,59.0,5.0,45.0,1580479763.0,4.0,2126612.0,panorama,condorpool,worker-3,sifting,/var/lib/condor/execute/dir_19433/pegasus.6YvqYxbKq/sifting,ALL.chr1.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   1,1.9,0,0
individuals_ID0000021,compute,0,1598736173.0,,,1598736179.0,1598736197.0,1598736456.0,1598736456.0,1598736467.0,6.0,,18.0,259.0,11.0,159.0,1014251457.0,4.0,28670.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_25462/pegasus.qGPF7ll18/individuals,ALL.chr2.100000.vcf   2   8001   9001   10000,67.1,0,0
individuals_ID0000020,compute,0,1598736173.0,,,1598736179.0,1598736197.0,1598736456.0,1598736456.0,1598736467.0,6.0,,18.0,259.0,11.0,161.0,1014251457.0,4.0,28677.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_25454/pegasus.jCRIunJzK/individuals,ALL.chr2.100000.vcf   2   7001   8001   10000,67.6,0,0
individuals_ID0000009,compute,0,1598736173.0,,,1598736179.0,1598736197.0,1598736441.0,1598736441.0,1598736451.0,6.0,,18.0,244.0,10.0,157.0,1014280442.0,4.0,28725.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_25694/pegasus.qR2B6hXoO/individuals,ALL.chr1.100000.vcf   1   8001   9001   10000,64.1,0,0
individuals_ID0000019,compute,0,1598736173.0,,,1598736179.0,1598736197.0,1598736436.0,1598736436.0,1598736441.0,6.0,,18.0,239.0,5.0,156.0,1014251457.0,4.0,28773.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_20035/pegasus.ToUXgUpyO/individuals,ALL.chr2.100000.vcf   2   6001   7001   10000,61.9,0,0
individuals_ID0000008,compute,0,1598736173.0,,,1598736179.0,1598736197.0,1598736441.0,1598736441.0,1598736451.0,6.0,,18.0,244.0,10.0,159.0,1014280442.0,5.0,28699.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_20033/pegasus.FJPWGGYla/individuals,ALL.chr1.100000.vcf   1   7001   8001   10000,61.4,0,0
individuals_ID0000014,compute,0,1598736173.0,,,1598736178.0,1598736197.0,1598736441.0,1598736441.0,1598736451.0,5.0,,19.0,244.0,10.0,156.0,1014251457.0,4.0,28774.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_25692/pegasus.7BXOEKDYp/individuals,ALL.chr2.100000.vcf   2   1001   2001   10000,63.7,0,0
individuals_ID0000003,compute,0,1598736173.0,,,1598736178.0,1598736197.0,1598736441.0,1598736441.0,1598736451.0,5.0,,19.0,244.0,10.0,161.0,1014280442.0,4.0,28713.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_20032/pegasus.KXe7fMy50/individuals,ALL.chr1.100000.vcf   1   2001   3001   10000,61.6,0,0
individuals_ID0000013,compute,0,1598736173.0,,,1598736178.0,1598736197.0,1598736441.0,1598736441.0,1598736451.0,5.0,,19.0,244.0,10.0,158.0,1014251457.0,4.0,28757.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_25689/pegasus.4vHFpfU42/individuals,ALL.chr2.100000.vcf   2   1   1001   10000,63.9,0,0
individuals_ID0000010,compute,0,1598736173.0,,,1598736179.0,1598736197.0,1598736456.0,1598736456.0,1598736462.0,6.0,,18.0,259.0,6.0,161.0,1014280442.0,4.0,28668.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_25461/pegasus.IU90d8sio/individuals,ALL.chr1.100000.vcf   1   9001   10001   10000,67.1,0,0
individuals_ID0000001,compute,0,1598736173.0,,,1598736178.0,1598736197.0,1598736446.0,1598736446.0,1598736451.0,5.0,,19.0,249.0,5.0,165.0,1014280442.0,4.0,28640.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_2912/pegasus.AGfJeZDEG/individuals,ALL.chr1.100000.vcf   1   1   1001   10000,61.2,0,0
individuals_ID0000002,compute,0,1598736173.0,,,1598736178.0,1598736197.0,1598736462.0,1598736462.0,1598736467.0,5.0,,19.0,265.0,5.0,170.0,1014280442.0,5.0,28419.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_31429/pegasus.mMoZosAfq/individuals,ALL.chr1.100000.vcf   1   1001   2001   10000,63.0,0,0
individuals_ID0000004,compute,0,1598736173.0,,,1598736178.0,1598736196.0,1598736451.0,1598736451.0,1598736456.0,5.0,,18.0,255.0,5.0,170.0,1014280442.0,6.0,28480.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_2903/pegasus.nBIlX84wL/individuals,ALL.chr1.100000.vcf   1   3001   4001   10000,61.4,0,0
individuals_ID0000005,compute,0,1598736173.0,,,1598736178.0,1598736197.0,1598736441.0,1598736441.0,1598736451.0,5.0,,19.0,244.0,10.0,163.0,1014280442.0,4.0,28551.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_20028/pegasus.for7CIPcE/individuals,ALL.chr1.100000.vcf   1   4001   5001   10000,61.6,0,0
individuals_ID0000016,compute,0,1598736173.0,,,1598736178.0,1598736196.0,1598736456.0,1598736456.0,1598736462.0,5.0,,18.0,260.0,6.0,173.0,1014251457.0,4.0,28585.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_31422/pegasus.xsMEhbivO/individuals,ALL.chr2.100000.vcf   2   3001   4001   10000,62.9,0,0
individuals_ID0000015,compute,0,1598736173.0,,,1598736178.0,1598736197.0,1598736441.0,1598736441.0,1598736451.0,5.0,,19.0,244.0,10.0,155.0,1014251457.0,4.0,28880.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_25685/pegasus.8Y13qz29D/individuals,ALL.chr2.100000.vcf   2   2001   3001   10000,64.2,0,0
individuals_ID0000017,compute,0,1598736173.0,,,1598736178.0,1598736196.0,1598736451.0,1598736451.0,1598736456.0,5.0,,18.0,255.0,5.0,171.0,1014251457.0,6.0,28450.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_2904/pegasus.LjsB1d9WL/individuals,ALL.chr2.100000.vcf   2   4001   5001   10000,61.6,0,0
individuals_ID0000007,compute,0,1598736173.0,,,1598736178.0,1598736197.0,1598736456.0,1598736456.0,1598736467.0,5.0,,19.0,259.0,11.0,169.0,1014280442.0,4.0,28474.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_31423/pegasus.FNRo0q2Kh/individuals,ALL.chr1.100000.vcf   1   6001   7001   10000,62.8,0,0
individuals_ID0000018,compute,0,1598736173.0,,,1598736178.0,1598736197.0,1598736441.0,1598736441.0,1598736451.0,5.0,,19.0,244.0,10.0,164.0,1014251457.0,4.0,28708.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_2909/pegasus.c2kYuMdlO/individuals,ALL.chr2.100000.vcf   2   5001   6001   10000,61.3,0,0
