,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000genome-20200922T030313Z_0_condorpool,auxiliary,0,1600762798.0,,,1600762802.0,1600762803.0,1600762807.0,1600762807.0,1600762812.0,4.0,,1.0,4.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.3,0,0
sifting_ID0000024,compute,0,1600762812.0,,,1600762818.0,1600763058.0,1600763103.0,1600763103.0,1600763108.0,6.0,,240.0,45.0,5.0,33.0,1708157176.0,5.0,1365482.0,panorama,condorpool,worker-4,sifting,/var/lib/condor/execute/dir_10414/pegasus.9I7sbtgUa/sifting,ALL.chr2.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   2,1.9,0,0
sifting_ID0000012,compute,0,1600762812.0,,,1600762818.0,1600763033.0,1600763073.0,1600763073.0,1600763078.0,6.0,,215.0,40.0,5.0,28.0,1580479763.0,4.0,2126612.0,panorama,condorpool,worker-1,sifting,/var/lib/condor/execute/dir_4877/pegasus.bnti1CrFT/sifting,ALL.chr1.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   1,2.1,0,0
individuals_ID0000021,compute,0,1600762812.0,,,1600762818.0,1600762827.0,1600763088.0,1600763088.0,1600763098.0,6.0,,9.0,261.0,10.0,169.0,1014251457.0,6.0,27913.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_9826/pegasus.U9hdgNGz2/individuals,ALL.chr2.100000.vcf   2   8001   9001   10000,68.5,0,0
individuals_ID0000020,compute,0,1600762812.0,,,1600762817.0,1600762827.0,1600763088.0,1600763088.0,1600763098.0,5.0,,10.0,261.0,10.0,171.0,1014251457.0,5.0,27947.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_9825/pegasus.zFwziyZ0O/individuals,ALL.chr2.100000.vcf   2   7001   8001   10000,68.9,0,0
individuals_ID0000009,compute,0,1600762812.0,,,1600762817.0,1600762827.0,1600763078.0,1600763078.0,1600763083.0,5.0,,10.0,251.0,5.0,174.0,1014280442.0,7.0,27591.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_7313/pegasus.H43piGURL/individuals,ALL.chr1.100000.vcf   1   8001   9001   10000,55.7,0,0
individuals_ID0000019,compute,0,1600762812.0,,,1600762817.0,1600762827.0,1600763093.0,1600763093.0,1600763103.0,5.0,,10.0,266.0,10.0,171.0,1014251457.0,5.0,28121.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_31012/pegasus.jgoqRZTCq/individuals,ALL.chr2.100000.vcf   2   6001   7001   10000,62.1,0,0
individuals_ID0000008,compute,0,1600762812.0,,,1600762817.0,1600762827.0,1600763058.0,1600763058.0,1600763063.0,5.0,,10.0,231.0,5.0,152.0,1014280442.0,5.0,27975.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_9822/pegasus.cjAJpSoyD/individuals,ALL.chr1.100000.vcf   1   7001   8001   10000,69.0,0,0
individuals_ID0000014,compute,0,1600762812.0,,,1600762817.0,1600762826.0,1600763088.0,1600763088.0,1600763098.0,5.0,,9.0,262.0,10.0,176.0,1014251457.0,5.0,27934.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_12739/pegasus.tIO4Xcjm0/individuals,ALL.chr2.100000.vcf   2   1001   2001   10000,70.3,0,0
individuals_ID0000003,compute,0,1600762812.0,,,1600762817.0,1600762827.0,1600763093.0,1600763093.0,1600763103.0,5.0,,10.0,266.0,10.0,171.0,1014280442.0,5.0,28131.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_31009/pegasus.JHLsWaUpH/individuals,ALL.chr1.100000.vcf   1   2001   3001   10000,62.3,0,0
