,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000genome-20200826T065300Z_0_condorpool,auxiliary,0,1598430818.0,,,1598430822.0,1598430823.0,1598430827.0,1598430827.0,1598430832.0,4.0,,1.0,4.0,5.0,,,,,panorama,local,master,pegasus::dirmanager,/home/panorama/pegasus-4.9.3panorama/bin/pegasus-transfer,,0.3,0,0
sifting_ID0000024,compute,0,1598430832.0,,,1598430837.0,1598431083.0,1598431122.0,1598431122.0,1598431127.0,5.0,,246.0,39.0,5.0,29.0,1708157176.0,4.0,1365482.0,panorama,condorpool,worker-4,sifting,/var/lib/condor/execute/dir_13736/pegasus.jGNYx3gzG/sifting,ALL.chr2.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   2,1.8,0,0
sifting_ID0000012,compute,0,1598430832.0,,,1598430837.0,1598431082.0,1598431122.0,1598431122.0,1598431127.0,5.0,,245.0,40.0,5.0,28.0,1580479763.0,4.0,2126612.0,panorama,condorpool,worker-1,sifting,/var/lib/condor/execute/dir_5766/pegasus.9B4BjNjU1/sifting,ALL.chr1.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.annotation.vcf   1,1.8,0,0
individuals_ID0000021,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431097.0,1598431097.0,1598431107.0,5.0,,15.0,245.0,10.0,166.0,1014251457.0,4.0,27928.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_20920/pegasus.KUYwUmvyg/individuals,ALL.chr2.100000.vcf   2   8001   9001   10000,66.8,0,0
individuals_ID0000020,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431092.0,1598431092.0,1598431107.0,5.0,,15.0,240.0,15.0,166.0,1014251457.0,5.0,27884.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_22847/pegasus.L5ZY0J2W6/individuals,ALL.chr2.100000.vcf   2   7001   8001   10000,62.8,0,0
individuals_ID0000009,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431092.0,1598431092.0,1598431107.0,5.0,,15.0,240.0,15.0,166.0,1014280442.0,4.0,27904.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_25485/pegasus.lrunIIUDP/individuals,ALL.chr1.100000.vcf   1   8001   9001   10000,64.2,0,0
individuals_ID0000019,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431092.0,1598431092.0,1598431107.0,5.0,,15.0,240.0,15.0,166.0,1014251457.0,5.0,27910.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_6638/pegasus.s7suTPgf8/individuals,ALL.chr2.100000.vcf   2   6001   7001   10000,62.8,0,0
individuals_ID0000008,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431097.0,1598431097.0,1598431107.0,5.0,,15.0,245.0,10.0,167.0,1014280442.0,4.0,27883.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_20915/pegasus.MCvfkaHKm/individuals,ALL.chr1.100000.vcf   1   7001   8001   10000,66.6,0,0
individuals_ID0000014,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431092.0,1598431092.0,1598431107.0,5.0,,15.0,240.0,15.0,166.0,1014251457.0,5.0,27957.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_14709/pegasus.GZkLeIxpv/individuals,ALL.chr2.100000.vcf   2   1001   2001   10000,62.4,0,0
individuals_ID0000003,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431092.0,1598431092.0,1598431107.0,5.0,,15.0,240.0,15.0,166.0,1014280442.0,5.0,27888.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_22841/pegasus.tgFqibuSO/individuals,ALL.chr1.100000.vcf   1   2001   3001   10000,62.8,0,0
individuals_ID0000013,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431092.0,1598431092.0,1598431107.0,5.0,,15.0,240.0,15.0,166.0,1014251457.0,5.0,27965.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_25480/pegasus.6fCeKSumC/individuals,ALL.chr2.100000.vcf   2   1   1001   10000,64.0,0,0
individuals_ID0000010,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431092.0,1598431092.0,1598431107.0,5.0,,15.0,240.0,15.0,166.0,1014280442.0,5.0,27849.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_14714/pegasus.1RzVzxxbr/individuals,ALL.chr1.100000.vcf   1   9001   10001   10000,62.6,0,0
individuals_ID0000001,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431097.0,1598431097.0,1598431107.0,5.0,,15.0,245.0,10.0,167.0,1014280442.0,4.0,27908.0,panorama,condorpool,worker-2,individuals,/var/lib/condor/execute/dir_20914/pegasus.EvltsK8lb/individuals,ALL.chr1.100000.vcf   1   1   1001   10000,65.8,0,0
individuals_ID0000002,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431082.0,1598431082.0,1598431087.0,5.0,,15.0,230.0,5.0,161.0,1014280442.0,4.0,27839.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_6632/pegasus.CschcxA0r/individuals,ALL.chr1.100000.vcf   1   1001   2001   10000,63.2,0,0
individuals_ID0000004,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431087.0,1598431087.0,1598431092.0,5.0,,15.0,235.0,5.0,162.0,1014280442.0,4.0,27868.0,panorama,condorpool,worker-1,individuals,/var/lib/condor/execute/dir_6629/pegasus.pxDQzCJEl/individuals,ALL.chr1.100000.vcf   1   3001   4001   10000,62.2,0,0
individuals_ID0000005,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431092.0,1598431092.0,1598431107.0,5.0,,15.0,240.0,15.0,165.0,1014280442.0,5.0,27838.0,panorama,condorpool,worker-3,individuals,/var/lib/condor/execute/dir_22838/pegasus.jSxgIOLI4/individuals,ALL.chr1.100000.vcf   1   4001   5001   10000,63.0,0,0
individuals_ID0000016,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431087.0,1598431087.0,1598431092.0,5.0,,15.0,235.0,5.0,162.0,1014251457.0,4.0,27923.0,panorama,condorpool,worker-4,individuals,/var/lib/condor/execute/dir_14706/pegasus.HrwOJbqB9/individuals,ALL.chr2.100000.vcf   2   3001   4001   10000,63.1,0,0
individuals_ID0000015,compute,0,1598430832.0,,,1598430837.0,1598430852.0,1598431092.0,1598431092.0,1598431107.0,5.0,,15.0,240.0,15.0,167.0,1014251457.0,4.0,27929.0,panorama,condorpool,worker-0,individuals,/var/lib/condor/execute/dir_25478/pegasus.11s56lDd4/individuals,ALL.chr2.100000.vcf   2   2001   3001   10000,64.1,0,0
